temperature, lluvia, humedad, rend_manz
30.00,54.00,49.00,44.30
63.00,36.00,25.00,38.60
31.00,97.00,23.00,40.20
37.00,84.00,51.00,53.40
70.00,35.00,30.00,43.00
80.00,81.00,33.00,56.70
93.00,48.00,31.00,53.00
42.00,24.00,92.00,63.40
48.00,98.00,35.00,51.50
58.00,88.00,97.00,83.50
97.00,70.00,81.00,83.60
56.00,98.00,77.00,74.90
54.00,97.00,68.00,69.60
51.00,37.00,65.00,55.20
77.00,39.00,37.00,49.40
25.00,71.00,61.00,52.20
99.00,67.00,92.00,89.10
98.00,94.00,91.00,93.70
92.00,25.00,96.00,80.60
81.00,43.00,55.00,60.40
22.00,53.00,31.00,32.70
38.00,77.00,59.00,56.30
23.00,28.00,63.00,44.00
52.00,53.00,51.00,51.70
75.00,32.00,21.00,39.40
71.00,78.00,76.00,74.90
55.00,69.00,42.00,51.30
99.00,21.00,26.00,46.90
81.00,80.00,62.00,71.30
76.00,28.00,21.00,38.90
62.00,88.00,79.00,75.70
67.00,57.00,27.00,45.00
53.00,34.00,52.00,48.70
96.00,49.00,86.00,81.60
80.00,75.00,96.00,87.00
75.00,68.00,67.00,69.60
46.00,93.00,40.00,52.40
81.00,31.00,39.00,50.00
90.00,76.00,68.00,76.20
46.00,72.00,81.00,68.70
76.00,22.00,65.00,59.70
79.00,64.00,88.00,80.50
50.00,92.00,30.00,48.40
94.00,73.00,60.00,72.80
44.00,52.00,70.00,58.60
71.00,88.00,68.00,72.90
84.00,90.00,61.00,73.70
76.00,21.00,79.00,66.50
20.00,55.00,61.00,47.50
87.00,92.00,52.00,70.50
25.00,39.00,44.00,37.30
60.00,73.00,25.00,45.10
70.00,70.00,84.00,77.00
96.00,34.00,44.00,57.60
97.00,54.00,30.00,54.90
89.00,41.00,68.00,68.90
69.00,40.00,64.00,60.70
52.00,28.00,32.00,37.20
26.00,74.00,91.00,68.10
40.00,72.00,22.00,37.40
26.00,51.00,47.00,41.50
37.00,35.00,21.00,28.60
26.00,94.00,77.00,65.10
40.00,67.00,71.00,60.90
39.00,25.00,82.00,57.70
63.00,54.00,55.00,57.20
40.00,66.00,75.00,62.70
42.00,88.00,60.00,60.20
97.00,29.00,44.00,56.90
57.00,56.00,90.00,73.30
99.00,33.00,37.00,54.80
86.00,44.00,26.00,47.60
90.00,39.00,25.00,47.30
34.00,70.00,23.00,35.70
29.00,38.00,34.00,33.30
28.00,35.00,71.00,50.90
89.00,38.00,30.00,49.30
20.00,48.00,54.00,42.60
62.00,92.00,26.00,50.00
98.00,95.00,90.00,93.40
28.00,93.00,41.00,47.50
27.00,71.00,30.00,37.30
88.00,46.00,62.00,66.60
36.00,66.00,45.00,46.50
61.00,21.00,62.00,53.50
62.00,80.00,52.00,60.60
20.00,51.00,56.00,44.20
40.00,26.00,49.00,41.70
79.00,89.00,40.00,61.50
44.00,44.00,72.00,58.00
39.00,94.00,78.00,69.50
90.00,57.00,84.00,80.40
81.00,57.00,38.00,54.70
95.00,38.00,64.00,68.10
77.00,30.00,97.00,77.60
72.00,21.00,73.00,62.30
77.00,29.00,72.00,64.90
68.00,55.00,32.00,47.40
28.00,81.00,25.00,37.10
61.00,41.00,67.00,60.00
78.00,89.00,25.00,53.70
91.00,45.00,28.00,50.30
91.00,72.00,97.00,90.20
91.00,91.00,26.00,58.50
35.00,64.00,37.00,41.80
50.00,49.00,66.00,57.80
96.00,34.00,27.00,49.10
67.00,22.00,61.00,55.00
52.00,75.00,52.00,56.60
51.00,64.00,32.00,44.10
25.00,43.00,64.00,48.10
92.00,62.00,51.00,65.50
88.00,29.00,27.00,45.70
20.00,23.00,43.00,32.10
36.00,88.00,80.00,68.40
57.00,69.00,87.00,74.40
42.00,41.00,36.00,38.80
69.00,49.00,97.00,79.00
23.00,64.00,86.00,62.70
90.00,76.00,27.00,55.70
96.00,56.00,84.00,82.00
40.00,52.00,74.00,59.40
22.00,84.00,71.00,58.90
38.00,85.00,64.00,60.40
77.00,24.00,97.00,76.40
21.00,27.00,94.00,58.70
97.00,55.00,75.00,77.60
56.00,71.00,73.00,67.50
81.00,28.00,31.00,45.40
50.00,27.00,56.00,48.40
88.00,53.00,67.00,70.50
61.00,57.00,40.00,49.70
82.00,71.00,59.00,68.30
50.00,85.00,49.00,56.50
89.00,75.00,92.00,87.70
66.00,86.00,46.00,60.00
79.00,51.00,93.00,80.40
63.00,43.00,72.00,63.50
44.00,90.00,55.00,58.70
68.00,98.00,62.00,71.00
75.00,93.00,84.00,83.10
59.00,45.00,53.00,53.20
38.00,49.00,53.00,47.70
30.00,27.00,96.00,62.40
46.00,46.00,32.00,39.00
31.00,71.00,83.00,65.00
84.00,63.00,26.00,50.80
36.00,71.00,63.00,56.50
58.00,21.00,29.00,36.10
35.00,83.00,59.00,56.60
85.00,56.00,73.00,73.20
68.00,44.00,56.00,57.20
40.00,48.00,80.00,61.60
63.00,64.00,91.00,77.20
82.00,22.00,76.00,67.00
80.00,55.00,53.00,61.50
64.00,89.00,80.00,77.00
54.00,87.00,24.00,45.60
58.00,57.00,27.00,42.30
30.00,75.00,32.00,40.00
39.00,96.00,50.00,55.90
49.00,28.00,39.00,39.80
57.00,91.00,59.00,64.80
76.00,23.00,44.00,49.40
77.00,91.00,99.00,90.80
86.00,51.00,39.00,55.50
28.00,86.00,81.00,66.10
53.00,76.00,66.00,64.10
40.00,64.00,96.00,72.80
57.00,46.00,63.00,57.80
68.00,89.00,55.00,65.70
29.00,22.00,90.00,58.10
49.00,28.00,76.00,58.30
22.00,28.00,51.00,37.70
77.00,71.00,29.00,51.80
69.00,67.00,89.00,78.60
53.00,75.00,94.00,77.90
23.00,86.00,49.00,48.60
91.00,73.00,28.00,55.90
81.00,91.00,79.00,82.00
47.00,93.00,28.00,46.70
53.00,22.00,36.00,38.30
36.00,23.00,95.00,62.90
98.00,50.00,71.00,74.90
94.00,63.00,75.00,78.30
71.00,36.00,91.00,74.00
35.00,56.00,92.00,67.70
72.00,35.00,85.00,71.10
66.00,71.00,51.00,59.50
69.00,86.00,99.00,87.40
20.00,45.00,83.00,56.50
95.00,48.00,71.00,73.60
98.00,51.00,81.00,80.10
42.00,43.00,77.00,59.70
63.00,34.00,92.00,71.70
28.00,33.00,70.00,50.00
95.00,75.00,69.00,78.00
68.00,23.00,75.00,62.50
21.00,70.00,60.00,50.30
41.00,39.00,24.00,32.10
48.00,36.00,56.00,49.60
53.00,70.00,52.00,55.90
69.00,65.00,68.00,67.70
49.00,40.00,38.00,41.70
80.00,72.00,79.00,77.90
96.00,27.00,28.00,48.20
23.00,89.00,56.00,52.70
99.00,32.00,94.00,83.10
41.00,67.00,87.00,69.20
51.00,60.00,38.00,46.30
23.00,83.00,64.00,55.50
54.00,39.00,90.00,69.00
57.00,84.00,62.00,64.90
86.00,78.00,53.00,67.90
20.00,96.00,39.00,44.70
52.00,63.00,95.00,75.70
30.00,33.00,92.00,61.60
51.00,44.00,24.00,36.10
90.00,86.00,96.00,92.20
36.00,33.00,94.00,64.40
63.00,73.00,87.00,77.00
64.00,45.00,92.00,74.20
43.00,85.00,69.00,64.40
89.00,57.00,49.00,62.60
53.00,91.00,67.00,67.60
32.00,29.00,81.00,55.90
74.00,95.00,84.00,83.20
66.00,44.00,24.00,40.60
55.00,83.00,99.00,82.60
70.00,28.00,34.00,43.60
50.00,73.00,52.00,55.60
29.00,41.00,91.00,62.40
60.00,93.00,33.00,53.10
62.00,61.00,41.00,51.30
92.00,85.00,21.00,55.10
46.00,62.00,21.00,36.70
68.00,69.00,73.00,70.70
40.00,22.00,59.00,45.90
21.00,96.00,74.00,62.50
96.00,80.00,60.00,74.80
27.00,45.00,75.00,54.60
55.00,95.00,86.00,78.50
41.00,66.00,45.00,48.00
20.00,23.00,64.00,42.60
91.00,30.00,44.00,55.30
99.00,25.00,73.00,71.20
80.00,52.00,38.00,53.40
67.00,93.00,46.00,61.70
27.00,55.00,86.00,62.10
59.00,68.00,34.00,48.30
80.00,42.00,79.00,71.90
58.00,33.00,86.00,67.00
23.00,59.00,61.00,49.20
60.00,37.00,74.00,62.40
36.00,51.00,91.00,66.50
57.00,35.00,93.00,70.60
78.00,35.00,41.00,50.90
64.00,50.00,91.00,74.70
83.00,31.00,96.00,79.10
82.00,70.00,64.00,70.60
47.00,85.00,92.00,77.10
20.00,34.00,39.00,32.30
39.00,52.00,87.00,65.60
46.00,73.00,39.00,47.90
25.00,47.00,47.00,40.40
53.00,35.00,91.00,68.40
67.00,30.00,28.00,40.10
67.00,92.00,78.00,77.50
93.00,32.00,24.00,46.30
53.00,36.00,63.00,54.60
75.00,28.00,31.00,43.60
60.00,40.00,94.00,73.00
59.00,80.00,72.00,69.70
57.00,77.00,43.00,54.00
82.00,88.00,25.00,54.70
82.00,53.00,65.00,67.70
79.00,29.00,45.00,52.00
94.00,77.00,33.00,60.10
68.00,45.00,82.00,70.40
77.00,86.00,99.00,89.80
35.00,57.00,27.00,35.40
98.00,24.00,67.00,67.70
26.00,68.00,84.00,63.40
68.00,86.00,58.00,66.60
96.00,20.00,74.00,69.80
66.00,84.00,28.00,50.60
35.00,69.00,46.00,47.30
45.00,77.00,99.00,78.40
94.00,80.00,87.00,87.70
90.00,28.00,86.00,75.60
26.00,27.00,32.00,29.20
22.00,91.00,88.00,68.80
80.00,64.00,93.00,83.30
73.00,72.00,45.00,58.80
38.00,54.00,54.00,49.20
65.00,73.00,59.00,63.60
94.00,23.00,33.00,49.30
77.00,22.00,75.00,65.00
83.00,57.00,98.00,85.30
82.00,95.00,44.00,65.60
91.00,34.00,63.00,65.60
48.00,73.00,26.00,42.00
67.00,94.00,51.00,64.40
83.00,56.00,92.00,82.10
99.00,57.00,50.00,66.10
26.00,38.00,99.00,64.90
98.00,25.00,46.00,57.40
80.00,52.00,44.00,56.40
83.00,55.00,22.00,46.90
74.00,48.00,20.00,41.80
87.00,56.00,96.00,85.30
71.00,55.00,78.00,71.30
25.00,45.00,99.00,66.00
36.00,50.00,68.00,54.80
34.00,78.00,78.00,64.80
83.00,59.00,31.00,52.20
28.00,59.00,36.00,38.20
56.00,74.00,35.00,49.10
61.00,81.00,27.00,48.00
43.00,48.00,21.00,33.00
21.00,30.00,91.00,57.80
78.00,43.00,57.00,60.50
96.00,85.00,49.00,70.30
42.00,41.00,48.00,44.80
59.00,25.00,25.00,35.20
44.00,25.00,59.00,47.70
35.00,57.00,45.00,44.40
37.00,75.00,48.00,50.10
92.00,30.00,20.00,43.60
55.00,78.00,59.00,61.60
33.00,42.00,92.00,64.30
37.00,77.00,81.00,67.00
37.00,62.00,74.00,60.50
63.00,34.00,82.00,66.70
