temperature, lluvia, humedad, rend_manz
65.00,60.00,51.00,57.00
39.00,26.00,26.00,29.90
65.00,45.00,92.00,74.50
31.00,69.00,50.00,48.10
57.00,79.00,41.00,53.40
67.00,51.00,32.00,46.30
58.00,87.00,45.00,57.30
52.00,34.00,59.00,51.90
66.00,66.00,77.00,71.50
69.00,96.00,33.00,56.40
25.00,31.00,39.00,33.20
79.00,36.00,41.00,51.40
78.00,86.00,85.00,83.10
49.00,27.00,27.00,33.60
39.00,27.00,53.00,43.60
35.00,67.00,71.00,59.40
57.00,46.00,57.00,54.80
92.00,29.00,91.00,78.90
43.00,29.00,23.00,30.20
47.00,23.00,75.00,56.20
39.00,97.00,79.00,70.60
47.00,89.00,49.00,56.40
66.00,61.00,69.00,66.50
61.00,55.00,28.00,43.30
89.00,99.00,87.00,90.00
50.00,88.00,89.00,77.10
53.00,71.00,94.00,77.10
57.00,51.00,83.00,68.80
76.00,53.00,41.00,53.90
67.00,60.00,87.00,75.60
26.00,62.00,30.00,35.20
58.00,99.00,67.00,70.70
29.00,59.00,38.00,39.50
59.00,21.00,28.00,35.90
20.00,48.00,85.00,58.10
23.00,72.00,38.00,40.30
86.00,64.00,65.00,71.10
94.00,41.00,34.00,53.40
39.00,91.00,36.00,47.90
72.00,82.00,78.00,77.00
83.00,80.00,83.00,82.40
29.00,93.00,41.00,47.80
31.00,40.00,77.00,55.80
35.00,92.00,56.00,56.90
62.00,99.00,39.00,57.90
26.00,40.00,29.00,30.30
24.00,31.00,96.00,61.40
85.00,27.00,37.00,49.40
50.00,86.00,36.00,50.20
91.00,65.00,65.00,72.80
29.00,71.00,61.00,53.40
38.00,39.00,91.00,64.70
30.00,89.00,96.00,74.80
91.00,70.00,95.00,88.80
58.00,73.00,38.00,51.00
38.00,72.00,20.00,35.80
37.00,22.00,62.00,46.50
96.00,54.00,59.00,69.10
21.00,87.00,95.00,71.20
23.00,95.00,66.00,58.90
38.00,79.00,90.00,72.20
52.00,78.00,65.00,63.70
46.00,70.00,21.00,38.30
53.00,78.00,82.00,72.50
70.00,67.00,69.00,68.90
99.00,95.00,32.00,64.70
80.00,81.00,28.00,54.20
68.00,47.00,89.00,74.30
76.00,68.00,65.00,68.90
25.00,61.00,57.00,48.20
61.00,37.00,41.00,46.20
97.00,72.00,43.00,65.00
73.00,75.00,29.00,51.40
38.00,83.00,76.00,66.00
65.00,42.00,69.00,62.40
67.00,59.00,74.00,68.90
38.00,55.00,35.00,39.90
56.00,35.00,38.00,42.80
70.00,20.00,31.00,40.50
40.00,91.00,22.00,41.20
65.00,62.00,88.00,75.90
30.00,51.00,78.00,58.20
93.00,34.00,56.00,62.70
34.00,43.00,27.00,32.30
78.00,39.00,97.00,79.70
94.00,80.00,77.00,82.70
99.00,80.00,77.00,84.20
82.00,33.00,76.00,69.20
33.00,42.00,90.00,63.30
51.00,73.00,93.00,76.40
48.00,56.00,90.00,70.60
87.00,78.00,78.00,80.70
34.00,60.00,34.00,39.20
91.00,46.00,23.00,48.00
28.00,74.00,84.00,65.20
86.00,56.00,90.00,82.00
88.00,74.00,83.00,82.70
75.00,89.00,51.00,65.80
34.00,75.00,23.00,36.70
41.00,89.00,35.00,47.60
87.00,81.00,79.00,81.80
93.00,50.00,66.00,70.90
81.00,67.00,48.00,61.70
31.00,55.00,69.00,54.80
34.00,57.00,69.00,56.10
90.00,75.00,68.00,76.00
66.00,52.00,66.00,63.20
76.00,43.00,24.00,43.40
54.00,61.00,66.00,61.40
82.00,36.00,86.00,74.80
59.00,89.00,42.00,56.50
50.00,75.00,48.00,54.00
68.00,89.00,72.00,74.20
76.00,41.00,47.00,54.50
28.00,64.00,89.00,65.70
63.00,41.00,72.00,63.10
25.00,65.00,90.00,65.50
55.00,49.00,41.00,46.80
77.00,61.00,70.00,70.30
51.00,74.00,68.00,64.10
98.00,94.00,96.00,96.20
86.00,80.00,32.00,57.80
85.00,25.00,39.00,50.00
52.00,83.00,73.00,68.70
50.00,75.00,42.00,51.00
93.00,41.00,57.00,64.60
78.00,88.00,22.00,52.00
50.00,80.00,35.00,48.50
21.00,66.00,81.00,60.00
51.00,92.00,79.00,73.20
44.00,86.00,88.00,74.40
21.00,51.00,83.00,58.00
21.00,87.00,84.00,65.70
78.00,76.00,61.00,69.10
62.00,56.00,23.00,41.30
37.00,94.00,27.00,43.40
63.00,65.00,80.00,71.90
77.00,94.00,93.00,88.40
58.00,79.00,29.00,47.70
66.00,31.00,85.00,68.50
26.00,80.00,51.00,49.30
29.00,39.00,61.00,47.00
22.00,32.00,62.00,44.00
60.00,74.00,72.00,68.80
81.00,34.00,52.00,57.10
37.00,82.00,60.00,57.50
84.00,21.00,30.00,44.40
49.00,67.00,68.00,62.10
85.00,68.00,27.00,52.60
36.00,67.00,83.00,65.70
67.00,68.00,20.00,43.70
81.00,62.00,81.00,77.20
52.00,51.00,37.00,44.30
40.00,55.00,49.00,47.50
54.00,32.00,70.00,57.60
46.00,76.00,86.00,72.00
84.00,83.00,52.00,67.80
81.00,67.00,52.00,63.70
26.00,85.00,56.00,52.80
85.00,21.00,22.00,40.70
79.00,27.00,38.00,48.10
34.00,71.00,93.00,70.90
81.00,61.00,74.00,73.50
33.00,43.00,63.00,50.00
26.00,53.00,57.00,46.90
34.00,75.00,50.00,50.20
31.00,71.00,85.00,66.00
48.00,50.00,72.00,60.40
53.00,80.00,38.00,50.90
33.00,80.00,87.00,69.40
22.00,42.00,85.00,57.50
88.00,52.00,77.00,75.30
80.00,62.00,57.00,64.90
91.00,97.00,88.00,90.70
53.00,54.00,59.00,56.20
81.00,24.00,94.00,76.10
66.00,75.00,68.00,68.80
60.00,50.00,72.00,64.00
35.00,81.00,71.00,62.20
45.00,76.00,33.00,45.20
84.00,79.00,22.00,52.00
67.00,32.00,51.00,52.00
80.00,99.00,28.00,57.80
22.00,20.00,44.00,32.60
87.00,42.00,33.00,51.00
72.00,20.00,92.00,71.60
45.00,21.00,23.00,29.20
23.00,62.00,31.00,34.80
77.00,24.00,41.00,48.40
22.00,71.00,73.00,57.30
51.00,65.00,64.00,60.30
57.00,85.00,36.00,52.10
43.00,74.00,58.00,56.70
53.00,36.00,54.00,50.10
44.00,79.00,40.00,49.00
80.00,42.00,87.00,75.90
58.00,60.00,81.00,69.90
83.00,94.00,91.00,89.20
67.00,27.00,67.00,59.00
22.00,83.00,40.00,43.20
62.00,58.00,31.00,45.70
59.00,57.00,48.00,53.10
71.00,22.00,57.00,54.20
98.00,38.00,74.00,74.00
30.00,49.00,93.00,65.30
92.00,60.00,75.00,77.10
37.00,52.00,59.00,51.00
51.00,64.00,67.00,61.60
86.00,72.00,80.00,80.20
88.00,43.00,52.00,61.00
73.00,48.00,92.00,77.50
49.00,90.00,67.00,66.20
61.00,96.00,94.00,84.50
58.00,21.00,64.00,53.60
50.00,76.00,88.00,74.20
84.00,77.00,40.00,60.60
21.00,76.00,38.00,40.50
27.00,47.00,47.00,41.00
51.00,59.00,63.00,58.60
88.00,72.00,67.00,74.30
86.00,84.00,22.00,53.60
28.00,55.00,54.00,46.40
32.00,68.00,92.00,69.20
39.00,21.00,70.00,50.90
73.00,57.00,80.00,73.30
34.00,42.00,31.00,34.10
77.00,90.00,89.00,85.60
64.00,72.00,35.00,51.10
82.00,71.00,67.00,72.30
68.00,74.00,76.00,73.20
27.00,32.00,61.00,45.00
48.00,95.00,21.00,43.90
86.00,52.00,35.00,53.70
91.00,35.00,84.00,76.30
62.00,47.00,36.00,46.00
49.00,78.00,65.00,62.80
39.00,24.00,99.00,66.00
43.00,44.00,44.00,43.70
63.00,72.00,26.00,46.30
28.00,55.00,63.00,50.90
60.00,63.00,54.00,57.60
93.00,40.00,37.00,54.40
88.00,27.00,29.00,46.30
30.00,97.00,86.00,71.40
46.00,52.00,78.00,63.20
71.00,95.00,37.00,58.80
64.00,96.00,49.00,62.90
36.00,70.00,57.00,53.30
77.00,27.00,48.00,52.50
52.00,53.00,93.00,72.70
26.00,37.00,66.00,48.20
67.00,56.00,61.00,61.80
50.00,93.00,70.00,68.60
96.00,47.00,91.00,83.70
90.00,55.00,48.00,62.00
94.00,85.00,34.00,62.20
80.00,89.00,56.00,69.80
27.00,22.00,48.00,36.50
31.00,40.00,92.00,63.30
55.00,67.00,42.00,50.90
29.00,38.00,96.00,64.30
54.00,43.00,67.00,58.30
24.00,96.00,79.00,65.90
63.00,94.00,59.00,67.20
38.00,47.00,58.00,49.80
27.00,78.00,71.00,59.20
93.00,32.00,34.00,51.30
46.00,43.00,23.00,33.90
67.00,92.00,69.00,73.00
60.00,81.00,87.00,77.70
91.00,83.00,55.00,71.40
25.00,21.00,50.00,36.70
61.00,90.00,50.00,61.30
90.00,80.00,49.00,67.50
48.00,90.00,99.00,81.90
78.00,83.00,35.00,57.50
31.00,52.00,50.00,44.70
92.00,45.00,32.00,52.60
55.00,56.00,80.00,67.70
80.00,71.00,64.00,70.20
60.00,47.00,78.00,66.40
35.00,53.00,51.00,46.60
53.00,83.00,98.00,81.50
55.00,72.00,80.00,70.90
88.00,86.00,81.00,84.10
52.00,68.00,46.00,52.20
28.00,44.00,73.00,53.70
78.00,73.00,97.00,86.50
44.00,48.00,35.00,40.30
83.00,54.00,32.00,51.70
90.00,47.00,76.00,74.40
95.00,95.00,50.00,72.50
94.00,61.00,72.00,76.40
73.00,74.00,99.00,86.20
82.00,41.00,67.00,66.30
30.00,89.00,41.00,47.30
24.00,95.00,98.00,75.20
78.00,33.00,22.00,41.00
54.00,46.00,59.00,54.90
40.00,86.00,90.00,74.20
91.00,86.00,52.00,70.50
68.00,83.00,75.00,74.50
28.00,31.00,76.00,52.60
80.00,68.00,91.00,83.10
72.00,51.00,39.00,51.30
86.00,91.00,84.00,86.00
63.00,45.00,27.00,41.40
72.00,68.00,27.00,48.70
99.00,83.00,80.00,86.30
89.00,94.00,96.00,93.50
23.00,86.00,87.00,67.60
73.00,81.00,56.00,66.10
46.00,41.00,38.00,41.00
42.00,91.00,75.00,68.30
35.00,51.00,83.00,62.20
35.00,37.00,67.00,51.40
53.00,98.00,27.00,49.00
36.00,32.00,75.00,54.70
50.00,95.00,74.00,71.00
70.00,67.00,87.00,77.90
63.00,67.00,46.00,55.30
20.00,91.00,89.00,68.70
55.00,64.00,24.00,41.30
72.00,37.00,26.00,42.00
32.00,78.00,46.00,48.20
37.00,85.00,42.00,49.10
60.00,48.00,54.00,54.60
77.00,61.00,23.00,46.80
31.00,37.00,39.00,36.20
60.00,91.00,85.00,78.70
47.00,89.00,61.00,62.40
81.00,25.00,70.00,64.30
26.00,85.00,59.00,54.30
71.00,21.00,21.00,36.00
79.00,78.00,75.00,76.80
61.00,42.00,66.00,59.70
89.00,42.00,36.00,53.10
47.00,71.00,70.00,63.30
35.00,56.00,31.00,37.20
62.00,45.00,22.00,38.60
55.00,77.00,29.00,46.40
67.00,42.00,99.00,78.00
63.00,65.00,25.00,44.40
74.00,27.00,94.00,74.60
29.00,98.00,80.00,68.30
49.00,82.00,80.00,71.10
53.00,82.00,64.00,64.30
36.00,87.00,30.00,43.20
71.00,88.00,55.00,66.40
75.00,96.00,57.00,70.20
61.00,74.00,62.00,64.10
63.00,70.00,76.00,70.90
80.00,22.00,36.00,46.40
87.00,98.00,82.00,86.70
42.00,90.00,59.00,60.10
73.00,26.00,43.00,48.60
58.00,81.00,87.00,77.10
48.00,23.00,86.00,62.00
54.00,29.00,89.00,66.50
47.00,83.00,39.00,50.20
60.00,32.00,87.00,67.90
57.00,90.00,99.00,84.60
50.00,72.00,77.00,67.90
75.00,63.00,69.00,69.60
35.00,41.00,73.00,55.20
41.00,22.00,95.00,64.20
74.00,23.00,82.00,67.80
93.00,97.00,39.00,66.80
36.00,62.00,38.00,42.20
70.00,83.00,49.00,62.10
23.00,24.00,89.00,56.20
94.00,75.00,72.00,79.20
69.00,43.00,47.00,52.80
87.00,22.00,65.00,63.00
83.00,76.00,59.00,69.60
67.00,86.00,46.00,60.30
35.00,77.00,52.00,51.90
87.00,98.00,82.00,86.70
38.00,50.00,27.00,34.90
45.00,24.00,72.00,54.30
41.00,53.00,43.00,44.40
77.00,94.00,62.00,72.90
37.00,41.00,72.00,55.30
68.00,83.00,88.00,81.00
33.00,71.00,86.00,67.10
32.00,29.00,62.00,46.40
68.00,54.00,98.00,80.20
38.00,85.00,51.00,53.90
59.00,96.00,53.00,63.40
68.00,55.00,90.00,76.40
52.00,58.00,66.00,60.20
71.00,81.00,65.00,70.00
47.00,36.00,68.00,55.30
70.00,45.00,29.00,44.50
48.00,66.00,47.00,51.10
66.00,40.00,75.00,65.30
51.00,40.00,94.00,70.30
78.00,21.00,36.00,45.60
29.00,46.00,79.00,57.40
40.00,57.00,52.00,49.40
69.00,39.00,47.00,52.00
69.00,27.00,38.00,45.10
99.00,45.00,42.00,59.70
33.00,34.00,71.00,52.20
35.00,94.00,80.00,69.30
83.00,27.00,89.00,74.80
86.00,86.00,78.00,82.00
94.00,22.00,56.00,60.60
82.00,96.00,46.00,66.80
23.00,97.00,70.00,61.30
32.00,73.00,75.00,61.70
74.00,77.00,62.00,68.60
62.00,23.00,49.00,47.70
98.00,60.00,85.00,83.90
77.00,93.00,68.00,75.70
74.00,31.00,93.00,74.90
61.00,71.00,30.00,47.50
32.00,25.00,62.00,45.60
36.00,43.00,49.00,43.90
49.00,61.00,56.00,54.90
40.00,23.00,79.00,56.10
50.00,70.00,72.00,65.00
36.00,85.00,20.00,37.80
41.00,77.00,49.00,52.20
21.00,29.00,44.00,34.10
62.00,89.00,29.00,50.90
66.00,65.00,28.00,46.80
46.00,53.00,22.00,35.40
25.00,38.00,81.00,55.60
48.00,42.00,61.00,53.30
57.00,28.00,96.00,70.70
65.00,80.00,34.00,52.50
40.00,83.00,31.00,44.10
61.00,43.00,77.00,65.40
32.00,59.00,46.00,44.40
46.00,91.00,34.00,49.00
63.00,32.00,39.00,44.80
96.00,79.00,72.00,80.60
82.00,28.00,37.00,48.70
82.00,42.00,46.00,56.00
87.00,44.00,67.00,68.40
41.00,85.00,52.00,55.30
39.00,36.00,98.00,67.90
27.00,63.00,49.00,45.20
86.00,67.00,21.00,49.70
84.00,93.00,39.00,63.30
73.00,69.00,88.00,79.70
95.00,64.00,50.00,66.30
64.00,24.00,77.00,62.50
44.00,87.00,33.00,47.10
64.00,27.00,89.00,69.10
29.00,83.00,68.00,59.30
52.00,75.00,79.00,70.10
20.00,82.00,53.00,48.90
