COORDENADA_X,COORDENADA_Y,ECA_RUIDO,LAF_MIN,LAF_MAX,L90,LAEQ,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE
283454.252,8664199.691,70,63.10,83.50,64.50,69.83,LIMA,ATE,150103,20230525
285219.839,8664874.523,80,64.20,85.50,65.30,70.53,LIMA,ATE,150103,20230525
284943.014,8664231.717,60,67.30,86.10,68.35,71.75,LIMA,ATE,150103,20230525
284480.628,8663635.894,80,71.50,88.10,72.30,77.38,LIMA,ATE,150104,20230526
282945.862,8665604.936,80,61.90,84.60,64.50,72.64,LIMA,ATE,150105,20230527
283715.660,8665573.705,70,64.20,81.20,66.30,74.45,LIMA,ATE,150106,20230528
282742.719,8665593.145,80,66.30,83.60,67.10,73.76,LIMA,ATE,150107,20230529
283521.280,8664684.983,60,61.30,80.85,62.30,70.20,LIMA,ATE,150108,20230530
283474.194,8664062.934,60,69.82,88.63,70.24,77.43,LIMA,ATE,150109,20230531
285245.557,8666204.435,80,70.82,89.45,71.36,80.80,LIMA,ATE,150110,20230532
285466.327,8666303.478,70,64.82,83.96,66.30,73.83,LIMA,ATE,150111,20230533
286565.787,8665758.098,80,65.46,86.35,66.78,75.67,LIMA,ATE,150112,20230534
285775.914,8666483.308,70,62.47,84.85,66.36,74.67,LIMA,ATE,150113,20230535
286137.522,8666615.354,70,67.96,84.65,68.30,75.87,LIMA,ATE,150114,20230536
286304.609,8666273.079,60,65.98,84.90,68.24,76.27,LIMA,ATE,150115,20230537
289055.555,8667879.734,60,65.91,84.60,66.50,71.62,LIMA,ATE,150116,20230538
289630.703,8668426.873,70,65.10,84.90,66.40,70.87,LIMA,ATE,150117,20230539
300945.805,8673508.704,60,67.40,84.60,68.20,74.07,LIMA,ATE,150118,20230540
290492.894,8668461.518,60,73.40,88.60,74.53,82.70,LIMA,ATE,150119,20230541
290142.809,8669350.345,70,66.30,84.30,68.40,75.02,LIMA,ATE,150120,20230542
290755.198,8669804.201,50,68.00,84.50,69.20,77.84,LIMA,ATE,150121,20230543
291366.659,8669971.809,70,66.40,85.20,67.60,76.08,LIMA,ATE,150122,20230544
291676.221,8670080.534,70,65.40,86.59,70.65,78.83,LIMA,ATE,150123,20230545
291877.585,8670147.976,50,63.40,85.30,67.80,75.77,LIMA,ATE,150124,20230546
291874.829,8670544.425,80,68.20,88.50,74.60,80.01,LIMA,ATE,150125,20230547
293631.181,8670737.278,70,68.50,87.30,69.50,76.83,LIMA,ATE,150126,20230548
293666.904,8670740.500,70,68.40,88.60,69.50,77.95,LIMA,ATE,150127,20230549
294291.034,8670965.496,60,59.60,98.60,67.80,77.69,LIMA,ATE,150128,20230550
